acq_date,count,week_of_the_year,year
2001-03-18,7,11,2001
2001-03-25,0,12,2001
2001-04-01,26,13,2001
2001-04-08,28,14,2001
2001-04-15,92,15,2001
2001-04-22,78,16,2001
2001-04-29,42,17,2001
2001-05-06,13,18,2001
2001-05-13,14,19,2001
2001-05-20,8,20,2001
2001-05-27,2,21,2001
2001-06-03,0,22,2001
2001-06-10,0,23,2001
2001-06-17,0,24,2001
2001-06-24,0,25,2001
2001-07-01,0,26,2001
2001-07-08,0,27,2001
2001-07-15,0,28,2001
2001-07-22,0,29,2001
2001-07-29,0,30,2001
2001-08-05,0,31,2001
2001-08-12,0,32,2001
2001-08-19,0,33,2001
2001-08-26,0,34,2001
2001-09-02,0,35,2001
2001-09-09,0,36,2001
2001-09-16,0,37,2001
2001-09-23,0,38,2001
2001-09-30,0,39,2001
2001-10-07,0,40,2001
2001-10-14,0,41,2001
2001-10-21,0,42,2001
2001-10-28,0,43,2001
2001-11-04,0,44,2001
2001-11-11,0,45,2001
2001-11-18,0,46,2001
2001-11-25,0,47,2001
2001-12-02,0,48,2001
2001-12-09,0,49,2001
2001-12-16,0,50,2001
2001-12-23,0,51,2001
2001-12-30,0,52,2001
2002-01-06,0,1,2002
2002-01-13,0,2,2002
2002-01-20,0,3,2002
2002-01-27,0,4,2002
2002-02-03,0,5,2002
2002-02-10,0,6,2002
2002-02-17,0,7,2002
2002-02-24,0,8,2002
2002-03-03,0,9,2002
2002-03-10,0,10,2002
2002-03-17,0,11,2002
2002-03-24,0,12,2002
2002-03-31,3,13,2002
2002-04-07,8,14,2002
2002-04-14,14,15,2002
2002-04-21,41,16,2002
2002-04-28,111,17,2002
2002-05-05,106,18,2002
2002-05-12,45,19,2002
2002-05-19,5,20,2002
2002-05-26,4,21,2002
2002-06-02,6,22,2002
2002-06-09,0,23,2002
2002-06-16,0,24,2002
2002-06-23,0,25,2002
2002-06-30,0,26,2002
2002-07-07,0,27,2002
2002-07-14,0,28,2002
2002-07-21,0,29,2002
2002-07-28,0,30,2002
2002-08-04,0,31,2002
2002-08-11,0,32,2002
2002-08-18,0,33,2002
2002-08-25,0,34,2002
2002-09-01,0,35,2002
2002-09-08,0,36,2002
2002-09-15,0,37,2002
2002-09-22,0,38,2002
2002-09-29,0,39,2002
2002-10-06,0,40,2002
2002-10-13,0,41,2002
2002-10-20,1,42,2002
2002-10-27,0,43,2002
2002-11-03,0,44,2002
2002-11-10,0,45,2002
2002-11-17,0,46,2002
2002-11-24,0,47,2002
2002-12-01,0,48,2002
2002-12-08,0,49,2002
2002-12-15,0,50,2002
